v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.0 -3.8180193072047606e-19 -1.5150019212481008e-39 -3.8180193072047606e-19 1.0 0.0 0.0 0.0 0.0 -8.196067600296576e-20 2.7306560621415086e-40 -8.196067600296576e-20 0.0 2.1281359422308146e-34 2.0181915275057797e-23 2.018191527527061e-23
0.025 1.0806786529572137e-06 1.0842253244525284e-24 1.0806786529572137e-06 1.0 0.0 0.0 0.0 0.0 -1.0806786529577018e-06 -1.3396247916697005e-33 -1.0806786529577018e-06 0.0 -3.353179513578204e-21 -6.834444047004129e-22 -4.036623918278617e-21
0.05 2.0760239266495877e-06 1.4996617985846437e-24 2.0760239266495877e-06 1.0 0.0 0.0 0.0 0.0 -2.0760239266481516e-06 -2.5766176343938414e-33 -2.0760239266481516e-06 0.0 -4.567564506734598e-21 -1.180593572936549e-21 -5.748158079671147e-21
0.07500000000000001 2.9587050893606635e-06 1.6597092525727726e-24 2.9587050893606635e-06 1.0 0.0 0.0 0.0 0.0 -2.9587050893618435e-06 -3.6765883776879514e-33 -2.9587050893618435e-06 0.0 -4.919897625060867e-21 -1.6776937400102986e-21 -6.597591365071166e-21
0.1 3.716791915599969e-06 1.722083626095028e-24 3.716791915599969e-06 1.0 0.0 0.0 0.0 0.0 -3.716791915600697e-06 -4.623974430628564e-33 -3.716791915600697e-06 0.0 -5.055460722840921e-21 -2.0917672616212354e-21 -7.147227984462156e-21
0.125 4.351152545610068e-06 1.746971168194188e-24 4.351152545610068e-06 1.0 0.0 0.0 0.0 0.0 -4.351152545609436e-06 -5.419042343392437e-33 -4.351152545609436e-06 0.0 -5.169018695897358e-21 -2.2728559804220793e-21 -7.441874676319438e-21
0.15 4.870928449022941e-06 1.7573570469799688e-24 4.870928449022941e-06 1.0 0.0 0.0 0.0 0.0 -4.870928449022334e-06 -6.072433800123401e-33 -4.870928449022334e-06 0.0 -5.278516260411051e-21 -2.6776447368434094e-21 -7.95616099725446e-21
0.175 5.289770391940088e-06 1.7620382583991663e-24 5.289770391940088e-06 1.0 0.0 0.0 0.0 0.0 -5.289770391939155e-06 -6.600503797219038e-33 -5.289770391939155e-06 0.0 -5.385066793020577e-21 -2.9802568201829564e-21 -8.365323613203534e-21
0.19999999999999998 5.623528368297742e-06 1.76440151821139e-24 5.623528368297742e-06 1.0 0.0 0.0 0.0 0.0 -5.623528368298479e-06 -7.022545933897159e-33 -5.623528368298479e-06 0.0 -5.489456096543453e-21 -3.3460345950982855e-21 -8.835490691641738e-21
0.22499999999999998 5.888996168559017e-06 1.7657707817306242e-24 5.888996168559017e-06 1.0 0.0 0.0 0.0 0.0 -5.888996168559493e-06 -7.359209291733211e-33 -5.888996168559493e-06 0.0 -5.592300238220602e-21 -3.669803415241372e-21 -9.262103653461973e-21
0.24999999999999997 6.1027829627025e-06 1.766681977397908e-24 6.1027829627025e-06 1.0 0.0 0.0 0.0 0.0 -6.102782962702908e-06 -7.631109445199532e-33 -6.102782962702908e-06 0.0 -5.694136121539906e-21 -3.91586456128977e-21 -9.610000682829677e-21
0.27499999999999997 6.279707748048793e-06 1.7673654257062984e-24 6.279707748048793e-06 1.0 0.0 0.0 0.0 0.0 -6.27970774804856e-06 -7.856741264314304e-33 -6.27970774804856e-06 0.0 -5.795417385249466e-21 -4.047855796441145e-21 -9.843273181690612e-21
0.3 6.431263781415185e-06 1.767926874051006e-24 6.431263781415185e-06 1.0 0.0 0.0 0.0 0.0 -6.431263781414846e-06 -8.050545373798793e-33 -6.431263781414846e-06 0.0 -5.896487994085901e-21 -4.467990195841414e-21 -1.0364478189927314e-20
0.325 6.565226039215592e-06 1.7684170692466406e-24 6.565226039215592e-06 1.0 0.0 0.0 0.0 0.0 -6.565226039215273e-06 -8.222282140596776e-33 -6.565226039215273e-06 0.0 -5.997583838154283e-21 -4.685626275618858e-21 -1.0683210113773142e-20
0.35000000000000003 6.6864840726407255e-06 1.768861285355219e-24 6.6864840726407255e-06 1.0 0.0 0.0 0.0 0.0 -6.686484072641458e-06 -8.37812728820572e-33 -6.686484072641458e-06 0.0 -6.098859274447698e-21 -5.0489697880130635e-21 -1.1147829062460762e-20
0.37500000000000006 6.798075282327731e-06 1.7692727762043604e-24 6.798075282327731e-06 1.0 0.0 0.0 0.0 0.0 -6.798075282325793e-06 -8.521885701117287e-33 -6.798075282325793e-06 0.0 -6.2004171026583804e-21 -5.24148892988042e-21 -1.14419060325388e-20
0.4000000000000001 6.901902722796938e-06 1.7696588973774314e-24 6.901902722796938e-06 1.0 0.0 0.0 0.0 0.0 -6.901902722795753e-06 -8.655976091457993e-33 -6.901902722795753e-06 0.0 -6.302325665123586e-21 -5.417069103071878e-21 -1.1719394768195463e-20
0.4250000000000001 6.999234081049578e-06 1.7700241321524253e-24 6.999234081049578e-06 1.0 0.0 0.0 0.0 0.0 -6.999234081049185e-06 -8.781977511733379e-33 -6.999234081049185e-06 0.0 -6.404632550111111e-21 -5.782682001983432e-21 -1.2187314552094542e-20
0.4500000000000001 7.091003522986172e-06 1.7703715882015198e-24 7.091003522986172e-06 1.0 0.0 0.0 0.0 0.0 -7.09100352298713e-06 -8.90107502541682e-33 -7.09100352298713e-06 0.0 -6.507375899967834e-21 -6.093472415530745e-21 -1.2600848315498578e-20
0.47500000000000014 7.177948028922117e-06 1.7707036333887363e-24 7.177948028922117e-06 1.0 0.0 0.0 0.0 0.0 -7.177948028923046e-06 -9.014180874713419e-33 -7.177948028923046e-06 0.0 -6.610589482784469e-21 -6.226186511185832e-21 -1.28367759939703e-20
0.5000000000000001 7.260682274875751e-06 1.7710222087144358e-24 7.260682274875751e-06 1.0 0.0 0.0 0.0 0.0 -7.260682274888188e-06 -9.122081649705575e-33 -7.260682274888188e-06 0.0 -6.714303547751914e-21 -6.546048841552138e-21 -1.3260352389304052e-20
0.5250000000000001 7.3397203853768805e-06 1.7713289257122875e-24 7.3397203853768805e-06 1.0 0.0 0.0 0.0 0.0 -7.339720385377359e-06 -9.225426841711526e-33 -7.339720385377359e-06 0.0 -6.818543744815536e-21 -6.7028912486828644e-21 -1.35214349934984e-20
0.5500000000000002 7.415479947890512e-06 1.7716250895172917e-24 7.415479947890512e-06 1.0 0.0 0.0 0.0 0.0 -7.4154799478769076e-06 -9.3247362572699e-33 -7.4154799478769076e-06 0.0 -6.923336862406133e-21 -6.995464173209597e-21 -1.391880103561573e-20
0.5750000000000002 7.488302830600642e-06 1.7719117684400686e-24 7.488302830600642e-06 1.0 0.0 0.0 0.0 0.0 -7.488302830600123e-06 -9.420442605384919e-33 -7.488302830600123e-06 0.0 -7.028711030722937e-21 -7.185496743114832e-21 -1.421420777383777e-20
0.6000000000000002 7.558480398220442e-06 1.7721898746148167e-24 7.558480398220442e-06 1.0 0.0 0.0 0.0 0.0 -7.5584803982340445e-06 -9.51291799758696e-33 -7.5584803982340445e-06 0.0 -7.134695986802315e-21 -7.461872300222917e-21 -1.4596568287025232e-20
0.6250000000000002 7.6262672373284775e-06 1.7724602067390434e-24 7.6262672373284775e-06 1.0 0.0 0.0 0.0 0.0 -7.626267237328925e-06 -9.602479911207114e-33 -7.626267237328925e-06 0.0 -7.241321489375583e-21 -7.714606313813399e-21 -1.4955927803188983e-20
0.6500000000000002 7.69188502445698e-06 1.772723461623636e-24 7.69188502445698e-06 1.0 0.0 0.0 0.0 0.0 -7.69188502444386e-06 -9.689407078849191e-33 -7.69188502444386e-06 0.0 -7.348616959662001e-21 -7.977315771568403e-21 -1.5325932731230404e-20
